任務名稱	工期	開始時間	完成時間
1.KJ01專案第一次專案會議	0.5 d	2017/10/11	2017/10/11
2.講座宣傳	0.5 d	2017/10/11	2017/10/11
3.活動流程安排/統計	1 d	2017/10/11	2017/10/11
4.第一次參與人員統計(含CALLOUT)	0.5 d	2017/10/11	2017/10/12
5.第二次參與人員統計(含CALLOUT)	0.5 d	2017/10/12	2017/10/12
6.講座活動流程服務人員	3 d	2017/10/12	2017/10/15
7.講座資料準備-影印/簽收/發放	2 d	2017/10/15	2017/10/17
8.預算控制	2 d	2017/10/15	2017/10/17
9.確認活動場地-70人	0.5 d	2017/10/12	2017/10/12
10.獎牌製作	2 d	2017/10/12	2017/10/14
11.名牌製作(分已繳費/未繳費)	2 d	2017/10/12	2017/10/14
12.佈置	0.3 d	2017/10/11	2017/10/11
13.海報及指示標誌製作/張貼	2 d	2017/10/11	2017/10/13
14.攝影人員	0.5 d	2017/10/30	2017/10/30
15.講座招待人員簽收/資料發放	0.3 d	2017/10/28	2017/10/28
16.參加講座應注意事項PPT	4 d	2017/10/17	2017/10/20
17.KJ01專案第二次專案會議	0.3 d	2017/10/17	2017/10/17
18.講座內容	0.5 d	2017/10/30	2017/10/30
19.結案會議(含LessonsLearn)	0.3 d	2017/11/4	2017/11/4
